Elements	"B-tree v1"	"B-tree v2"	"Extensible Array"
1		0.000092	0.000108	0.000103
10		0.000151        0.000154        0.000170
10$^2$		0.000672        0.000609        0.000652
10$^3$		0.009567        0.009103        0.009122
10$^4$		0.132628        0.129073        0.123602
10$^5$		1.368683        1.354930        1.272823
10$^6$		14.320749       14.047490       12.922194
10$^7$		147.709368      145.205322      129.967581
10$^8$		1528.506856     1486.837389     1292.356487

